Sweep,Representation,tau,n_illicit,n_matched,seed,mmd2,perm_p,separable,Low_Confidence
BB: Label-Cond Separability Raw-vs-Prop,Raw,7,102,102,9,0.14750602824691517,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,0,0.13846048585223225,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,1,0.11997229497309103,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,2,0.11093930710500444,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,3,0.12003051268406884,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,4,0.13020796576975835,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,5,0.12681019217716893,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,6,0.115249890959497,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,7,0.1301691349205616,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,8,0.13554567527080508,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,8,67,67,9,0.14400680428132295,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,0,0.06156577997607848,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,1,0.06012205994978159,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,2,0.06037673259652654,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,3,0.05607005926389785,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,4,0.06154121232230514,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,5,0.06555355390311957,0.000999000999000999,1,0
BB: Label-Cond Separability Raw-vs-Prop,Raw,9,248,248,6,0.05866796807399366,0.000999000999000999,1,0
