Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
43,Base,"Sweep 1: SGC (baseline) K=2, Topo=None",N/A,2,False,False,None,N/A,0.5,1.567,1.69,0.515,0.472,0.483,0.494,0.218,0.181,0.212,0.191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=2, Topo=late",N/A,2,False,False,late,N/A,0.5,1.63,1.69,0.506,0.464,0.481,0.527,0.205,0.168,0.201,0.182,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=2, Topo=early",N/A,2,False,False,early,N/A,0.5,1.214,1.68,0.513,0.464,0.485,0.496,0.217,0.178,0.212,0.193,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=3, Topo=None",N/A,3,False,False,None,N/A,0.5,1.616,1.68,0.512,0.489,0.477,0.503,0.21,0.173,0.2,0.181,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=3, Topo=late",N/A,3,False,False,late,N/A,0.5,1.073,1.69,0.491,0.472,0.465,0.518,0.2,0.155,0.196,0.169,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
43,Base,"Sweep 1: SGC (baseline) K=3, Topo=early",N/A,3,False,False,early,N/A,0.5,1.929,1.69,0.509,0.485,0.474,0.5,0.219,0.173,0.213,0.183,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=1, Topo=None",N/A,1,False,False,None,N/A,0.5,1.392,1.66,0.503,0.409,0.471,0.44,0.177,0.119,0.186,0.145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=1, Topo=late",N/A,1,False,False,late,N/A,0.5,2.052,1.67,0.499,0.42,0.479,0.477,0.172,0.117,0.18,0.147,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=1, Topo=early",N/A,1,False,False,early,N/A,0.5,1.427,1.67,0.505,0.432,0.466,0.445,0.18,0.124,0.187,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
44,Base,"Sweep 1: SGC (baseline) K=2, Topo=None",N/A,2,False,False,None,N/A,0.5,1.495,1.69,0.511,0.466,0.481,0.489,0.218,0.179,0.211,0.191,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,fixed,
