Seed,Variation,Sweep,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method,Static_Time_s,Static_Mem_MB,Static_Val_Pooled_F1,Static_Val_Pooled_PRAUC,Static_Val_Macro_F1,Static_Val_Macro_PRAUC,Static_OOT_Pooled_F1,Static_OOT_Pooled_PRAUC,Static_OOT_Macro_F1,Static_OOT_Macro_PRAUC,WF_Time_s,WF_Mem_MB,WF_Pooled_F1,WF_Pooled_PRAUC,WF_Macro_F1,WF_Macro_PRAUC,WF_Pre43_Pooled_F1,WF_Pre43_PRAUC,WF_Shock_F1,WF_Shock_PRAUC,WF_Recovery_Pooled_F1,WF_Recovery_PRAUC,Selfcond_Bug,Notes
42,Base,"Ablation: Decay λ=0.25 on Grid: K=2, Dir=T, Topo=None",Decay Multiscale (1155-dim),2,True,True,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,383.105,0.26,0.7352,0.7507,0.5006,0.547,0.8056,0.8497,0.0,0.0293,0.3851,0.1275,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=2, Dir=T, Topo=None",Decay Multiscale (1155-dim),2,True,True,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,399.07,0.26,0.6887,0.7447,0.4773,0.5414,0.7542,0.8314,0.0952,0.0433,0.4426,0.2415,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=F, Topo=late",Decay Multiscale (662-dim),3,True,False,late,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1323.589,0.26,0.6616,0.7421,0.4615,0.5119,0.8079,0.8405,0.0,0.0412,0.127,0.1048,fixed,
42,Base,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=F, Topo=late",Decay Multiscale (662-dim),3,True,False,late,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,75.524,82.67,0.7085,0.7613,0.487,0.5377,0.7976,0.8603,0.0345,0.0272,0.3333,0.1717,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=F, Topo=late",Decay Multiscale (662-dim),3,True,False,late,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.552,0.27,0.7037,0.7451,0.49,0.5291,0.7876,0.8423,0.0333,0.0348,0.3851,0.1469,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=early",Decay Multiscale (1670-dim),3,True,True,early,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,241.817,0.26,0.6808,0.7039,0.4472,0.4772,0.7536,0.8069,0.0,0.0309,0.3588,0.0899,fixed,
42,Base,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=early",Decay Multiscale (1670-dim),3,True,True,early,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,371.418,0.26,0.6757,0.7398,0.4787,0.5571,0.7553,0.8352,0.0,0.0359,0.359,0.1765,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=early",Decay Multiscale (1670-dim),3,True,True,early,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,312.296,0.26,0.6797,0.7304,0.4792,0.5634,0.7477,0.8277,0.0,0.033,0.4388,0.247,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=2, Dir=T, Topo=late",Decay Multiscale (1157-dim),2,True,True,late,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,436.897,0.25,0.7061,0.7144,0.4497,0.4924,0.7815,0.812,0.0,0.0349,0.2435,0.1006,fixed,
42,Base,"Ablation: Decay λ=0.25 on Grid: K=2, Dir=T, Topo=late",Decay Multiscale (1157-dim),2,True,True,late,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1327.889,0.26,0.7325,0.7774,0.5273,0.585,0.7947,0.8544,0.1176,0.0827,0.4472,0.2415,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=2, Dir=T, Topo=late",Decay Multiscale (1157-dim),2,True,True,late,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,373.792,0.26,0.6927,0.7477,0.4886,0.5757,0.7929,0.8466,0.0,0.0422,0.3093,0.1748,fixed,
42,Base,"Ablation: Decay λ=0.05 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (1650-dim),3,True,True,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,637.833,0.26,0.6251,0.7068,0.4289,0.4707,0.7557,0.8132,0.0,0.0364,0.2021,0.0767,fixed,
42,Base,"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (1650-dim),3,True,True,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,447.49,0.26,0.6922,0.7497,0.4771,0.5347,0.7831,0.8478,0.0385,0.0266,0.3952,0.1783,fixed,
42,Base,"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=None",Decay Multiscale (1650-dim),3,True,True,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,740.155,0.26,0.6942,0.7273,0.4715,0.5296,0.7499,0.8271,0.0,0.0198,0.4716,0.2316,fixed,
42,PCA,"Ablation: Decay λ=0.05 on Grid: K=2, Dir=F, Topo=None",Decay Multiscale (141-dim),2,True,False,None,0.05,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,36.733,0.27,0.6856,0.7035,0.4412,0.4989,0.7612,0.8032,0.0,0.032,0.2731,0.097,fixed,
42,PCA,"Ablation: Decay λ=0.25 on Grid: K=2, Dir=F, Topo=None",Decay Multiscale (141-dim),2,True,False,None,0.25,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,32.59,0.27,0.6313,0.7529,0.4783,0.529,0.7952,0.8462,0.0,0.0265,0.1911,0.1637,fixed,
42,PCA,"Ablation: Decay λ=0.5 on Grid: K=2, Dir=F, Topo=None",Decay Multiscale (141-dim),2,True,False,None,0.5,epsilon-fallback,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,34.256,0.27,0.6989,0.7224,0.4673,0.5132,0.752,0.821,0.1081,0.0503,0.3936,0.1398,fixed,
