Sweep,Variation,tau,seed,shuffle_flag,M,beta0_total_pers,beta1_total_pers,beta1_max_life,pers_entropy_h0,pers_entropy_h1,wasserstein_h0_to_next,wasserstein_h1_to_next,wasserstein_combined_to_next,mmd2_to_next,Low_Confidence
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,16,1,0,800,,,,,,,,,0.01625239849090576,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,17,1,0,800,,,,,,,,,0.00939035415649414,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,18,1,0,800,,,,,,,,,0.012616991996765137,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,19,1,0,800,,,,,,,,,0.0038503408432006836,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,20,1,0,800,,,,,,,,,0.007070779800415039,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,21,1,0,800,,,,,,,,,0.00891578197479248,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,22,1,0,800,,,,,,,,,0.003845810890197754,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,23,1,0,800,,,,,,,,,0.006419062614440918,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,24,1,0,800,,,,,,,,,0.01820540428161621,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,25,1,0,800,,,,,,,,,0.00392460823059082,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,26,1,0,800,,,,,,,,,0.00731658935546875,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,27,1,0,800,,,,,,,,,0.007163405418395996,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,28,1,0,800,,,,,,,,,0.005034446716308594,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,29,1,0,800,,,,,,,,,0.00507509708404541,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,30,1,0,800,,,,,,,,,0.007667183876037598,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,31,1,0,800,,,,,,,,,0.007280588150024414,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,32,1,0,800,,,,,,,,,0.008550882339477539,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,33,1,0,800,,,,,,,,,0.007504820823669434,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,34,1,0,800,,,,,,,,,0.0038475990295410156,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,35,1,0,800,,,,,,,,,0.005958676338195801,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,36,1,0,800,,,,,,,,,0.005325675010681152,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,37,1,0,800,,,,,,,,,0.005768418312072754,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,38,1,0,800,,,,,,,,,0.011191844940185547,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,39,1,0,800,,,,,,,,,0.014256477355957031,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,40,1,0,800,,,,,,,,,0.01474606990814209,0
TDA: MMD Canary RawFeat Euclid tau=1-49,Base,41,1,0,800,,,,,,,,,0.0014314651489257812,0
