Sweep,Variation,Static_Val_Pooled_F1_mean,Static_Val_Pooled_F1_std,Static_Val_Pooled_PRAUC_mean,Static_Val_Pooled_PRAUC_std,Static_Val_Macro_F1_mean,Static_Val_Macro_F1_std,Static_Val_Macro_PRAUC_mean,Static_Val_Macro_PRAUC_std,Static_OOT_Pooled_F1_mean,Static_OOT_Pooled_F1_std,Static_OOT_Pooled_PRAUC_mean,Static_OOT_Pooled_PRAUC_std,Static_OOT_Macro_F1_mean,Static_OOT_Macro_F1_std,Static_OOT_Macro_PRAUC_mean,Static_OOT_Macro_PRAUC_std,WF_Pooled_F1_mean,WF_Pooled_F1_std,WF_Pooled_PRAUC_mean,WF_Pooled_PRAUC_std,WF_Macro_F1_mean,WF_Macro_F1_std,WF_Macro_PRAUC_mean,WF_Macro_PRAUC_std,WF_Pre43_Pooled_F1_mean,WF_Pre43_Pooled_F1_std,WF_Pre43_PRAUC_mean,WF_Pre43_PRAUC_std,WF_Shock_F1_mean,WF_Shock_F1_std,WF_Shock_PRAUC_mean,WF_Shock_PRAUC_std,WF_Recovery_Pooled_F1_mean,WF_Recovery_Pooled_F1_std,WF_Recovery_PRAUC_mean,WF_Recovery_PRAUC_std,Feature_Set,SGC_K,Multiscale_Prop,Directionality,Topological_Injection,Decay_Lambda,Threshold_Method
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6614,,0.7101,,0.4256,,0.503,,0.7166,,0.8077,,0.0455,,0.0539,,0.3927,,0.1398,,Decay Multiscale (262-dim),3,True,True,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=early",Base,,,,,,,,,,,,,,,,,0.6757,,0.7398,,0.4787,,0.5571,,0.7553,,0.8352,,0.0,,0.0359,,0.359,,0.1765,,Decay Multiscale (1670-dim),3,True,True,early,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Grid: K=3, Dir=T, Topo=late",PCA,,,,,,,,,,,,,,,,,0.6819,,0.6901,,0.4421,,0.4805,,0.7491,,0.7916,,0.0,,0.0289,,0.3045,,0.1001,,Decay Multiscale (263-dim),3,True,True,late,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on NoMP Grid: K=2, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.5711,,0.6152,,0.4169,,0.4588,,0.7209,,0.7721,,0.0125,,0.0241,,0.1583,,0.1082,,Decay Multiscale (165-dim),2,False,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on NoMP Grid: K=2, Dir=F, Topo=early",PCA,,,,,,,,,,,,,,,,,0.2926,,0.5095,,0.394,,0.4454,,0.6547,,0.7,,0.0,,0.0148,,0.0584,,0.0588,,Decay Multiscale (66-dim),2,False,False,early,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.5695,,0.6125,,0.4086,,0.4511,,0.6528,,0.7019,,0.0526,,0.0428,,0.3211,,0.1333,,Decay Multiscale (165-dim),3,False,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.5113,,0.5284,,0.3836,,0.4146,,0.5875,,0.6254,,0.0851,,0.0306,,0.2664,,0.1009,,Decay Multiscale (63-dim),3,False,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on NoMP Grid: K=3, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.5988,,0.5845,,0.3987,,0.4331,,0.6663,,0.6871,,0.0,,0.0323,,0.3171,,0.0802,,Decay Multiscale (167-dim),3,False,False,early,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=2, Topo=None",Base,,,,,,,,,,,,,,,,,0.4188,,0.3363,,0.3656,,0.3523,,0.5951,,0.5575,,0.0116,,0.0169,,0.1896,,0.0655,,Decay Multiscale (165-dim),2,False,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=2, Topo=early",Base,,,,,,,,,,,,,,,,,0.4334,,0.3332,,0.3611,,0.3492,,0.6059,,0.5586,,0.0112,,0.017,,0.2077,,0.0576,,Decay Multiscale (167-dim),2,False,False,early,0.25,epsilon-fallback
"Ablation: Decay λ=0.25 on Sweep 1: SGC (baseline) K=3, Topo=early",Base,,,,,,,,,,,,,,,,,0.4224,,0.3355,,0.3785,,0.3366,,0.5895,,0.5327,,0.0156,,0.0186,,0.196,,0.0631,,Decay Multiscale (167-dim),3,False,False,early,0.25,epsilon-fallback
Ablation: Decay λ=0.25 on XGBoost,Base,,,,,,,,,,,,,,,,,0.8307,,0.8789,,0.6432,,0.7197,,0.8907,,0.9315,,0.1538,,0.3056,,0.4876,,0.4256,,Raw-165 (no ts) + exp-decay,N/A,False,False,None,0.25,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=2, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6989,,0.7224,,0.4673,,0.5132,,0.752,,0.821,,0.1081,,0.0503,,0.3936,,0.1398,,Decay Multiscale (141-dim),2,True,False,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=2, Dir=F, Topo=early",Base,,,,,,,,,,,,,,,,,0.6558,,0.7152,,0.465,,0.5046,,0.7725,,0.817,,0.0741,,0.0347,,0.2588,,0.1035,,Decay Multiscale (501-dim),2,True,False,early,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=2, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.6887,,0.7447,,0.4773,,0.5414,,0.7542,,0.8314,,0.0952,,0.0433,,0.4426,,0.2415,,Decay Multiscale (1155-dim),2,True,True,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=2, Dir=T, Topo=late",Base,,,,,,,,,,,,,,,,,0.6927,,0.7477,,0.4886,,0.5757,,0.7929,,0.8466,,0.0,,0.0422,,0.3093,,0.1748,,Decay Multiscale (1157-dim),2,True,True,late,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=F, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6985,,0.7063,,0.4596,,0.5129,,0.7493,,0.7912,,0.0,,0.0311,,0.4354,,0.1736,,Decay Multiscale (144-dim),3,True,False,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=F, Topo=late",Base,,,,,,,,,,,,,,,,,0.7037,,0.7451,,0.49,,0.5291,,0.7876,,0.8423,,0.0333,,0.0348,,0.3851,,0.1469,,Decay Multiscale (662-dim),3,True,False,late,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=None",Base,,,,,,,,,,,,,,,,,0.6942,,0.7273,,0.4715,,0.5296,,0.7499,,0.8271,,0.0,,0.0198,,0.4716,,0.2316,,Decay Multiscale (1650-dim),3,True,True,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=None",PCA,,,,,,,,,,,,,,,,,0.6448,,0.6882,,0.4343,,0.5084,,0.719,,0.7907,,0.1143,,0.0692,,0.2517,,0.0983,,Decay Multiscale (262-dim),3,True,True,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=early",Base,,,,,,,,,,,,,,,,,0.6797,,0.7304,,0.4792,,0.5634,,0.7477,,0.8277,,0.0,,0.033,,0.4388,,0.247,,Decay Multiscale (1670-dim),3,True,True,early,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on Grid: K=3, Dir=T, Topo=late",PCA,,,,,,,,,,,,,,,,,0.6532,,0.709,,0.447,,0.5172,,0.7097,,0.7927,,0.0769,,0.0934,,0.3487,,0.2211,,Decay Multiscale (263-dim),3,True,True,late,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on NoMP Grid: K=2, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.5803,,0.5836,,0.442,,0.4683,,0.6981,,0.7122,,0.0476,,0.0329,,0.2302,,0.1287,,Decay Multiscale (165-dim),2,False,False,None,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on NoMP Grid: K=2, Dir=F, Topo=early",PCA,,,,,,,,,,,,,,,,,0.475,,0.5411,,0.396,,0.4333,,0.6396,,0.6802,,0.0206,,0.0184,,0.173,,0.0939,,Decay Multiscale (66-dim),2,False,False,early,0.5,epsilon-fallback
"Ablation: Decay λ=0.5 on NoMP Grid: K=3, Dir=F, Topo=None",Base,,,,,,,,,,,,,,,,,0.6003,,0.606,,0.4249,,0.4302,,0.6474,,0.6962,,0.1471,,0.0898,,0.4557,,0.1667,,Decay Multiscale (165-dim),3,False,False,None,0.5,epsilon-fallback
